timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:18:55.265, 0, 21 %, 5 %, 717 MiB, 49140 MiB, 75.17 W, 300.00 W, 45, 2535 MHz
2026/09/19 22:18:56.265, 0, 44 %, 9 %, 1087 MiB, 49140 MiB, 111.08 W, 300.00 W, 46, 2715 MHz
2026/09/19 22:18:57.266, 0, 52 %, 19 %, 887 MiB, 49140 MiB, 131.34 W, 300.00 W, 46, 2715 MHz
2026/09/19 22:18:58.266, 0, 46 %, 10 %, 873 MiB, 49140 MiB, 119.57 W, 300.00 W, 46, 2715 MHz
2026/09/19 22:18:59.267, 0, 61 %, 29 %, 1087 MiB, 49140 MiB, 146.20 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:19:00.267, 0, 53 %, 21 %, 811 MiB, 49140 MiB, 157.81 W, 300.00 W, 47, 2715 MHz
2026/09/19 22:19:01.268, 0, 61 %, 30 %, 717 MiB, 49140 MiB, 148.15 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:19:02.269, 0, 55 %, 24 %, 1087 MiB, 49140 MiB, 140.66 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:19:03.269, 0, 48 %, 11 %, 1087 MiB, 49140 MiB, 145.40 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:19:04.270, 0, 50 %, 17 %, 717 MiB, 49140 MiB, 158.27 W, 300.00 W, 51, 2715 MHz
2026/09/19 22:19:05.270, 0, 47 %, 9 %, 1087 MiB, 49140 MiB, 158.75 W, 300.00 W, 50, 2715 MHz
2026/09/19 22:19:06.271, 0, 52 %, 25 %, 1087 MiB, 49140 MiB, 161.03 W, 300.00 W, 53, 2715 MHz
2026/09/19 22:19:07.271, 0, 48 %, 11 %, 875 MiB, 49140 MiB, 152.32 W, 300.00 W, 50, 2715 MHz
2026/09/19 22:19:08.272, 0, 44 %, 9 %, 717 MiB, 49140 MiB, 131.40 W, 300.00 W, 50, 2715 MHz
2026/09/19 22:19:09.274, 0, 41 %, 9 %, 717 MiB, 49140 MiB, 105.84 W, 300.00 W, 49, 2715 MHz
2026/09/19 22:19:10.274, 0, 0 %, 0 %, 715 MiB, 49140 MiB, 65.74 W, 300.00 W, 48, 2715 MHz
2026/09/19 22:19:11.275, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 57.49 W, 300.00 W, 47, 2505 MHz
2026/09/19 22:19:12.275, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 52.75 W, 300.00 W, 47, 2505 MHz
2026/09/19 22:19:13.276, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 38.37 W, 300.00 W, 46, 495 MHz
2026/09/19 22:19:14.277, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 28.30 W, 300.00 W, 46, 285 MHz
2026/09/19 22:19:15.280, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 18.36 W, 300.00 W, 46, 210 MHz
2026/09/19 22:19:16.281, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 17.23 W, 300.00 W, 45, 210 MHz
2026/09/19 22:19:17.282, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 13.44 W, 300.00 W, 45, 210 MHz
2026/09/19 22:19:18.283, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 9.51 W, 300.00 W, 45, 210 MHz
2026/09/19 22:19:19.283, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 9.25 W, 300.00 W, 45, 210 MHz
2026/09/19 22:19:20.284, 0, 0 %, 0 %, 701 MiB, 49140 MiB, 9.26 W, 300.00 W, 44, 210 MHz
2026/09/19 22:19:21.285, 0, 15 %, 1 %, 793 MiB, 49140 MiB, 33.55 W, 300.00 W, 46, 2505 MHz
2026/09/19 22:19:22.285, 0, 7 %, 0 %, 717 MiB, 49140 MiB, 63.10 W, 300.00 W, 46, 2505 MHz
